
('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         742932 function calls (722320 primitive calls) in 4.156 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.000    0.000    0.001    0.000 {method 'decode' of 'bytearray' objects}
        3    0.001    0.000    0.001    0.000 socket.py:221(__init__)
        8    0.000    0.000    0.001    0.000 _htmlparser.py:182(handle_charref)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1569(_IPv4Constants)
        1    0.000    0.000    0.001    0.001 _meta.py:1(<module>)
       66    0.001    0.000    0.001    0.000 functools.py:35(update_wrapper)
        1    0.000    0.000    0.001    0.001 ipaddress.py:2314(_IPv6Constants)
        2    0.000    0.000    0.001    0.001 connection.py:365(request)
       21    0.000    0.000    0.001    0.000 ipaddress.py:1502(__init__)
       34    0.000    0.000    0.001    0.000 ipaddress.py:2238(__init__)
      913    0.001    0.000    0.001    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.001    0.001 __init__.py:152(EntryPoint)
      159    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
        6    0.000    0.000    0.001    0.000 feedparser.py:176(_call_parse)
       51    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
     8836    0.001    0.000    0.001    0.000 element.py:1586(__bool__)
      191    0.001    0.000    0.001    0.000 {built-in method _sre.compile}
       69    0.000    0.000    0.001    0.000 css_types.py:251(__init__)
     2260    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
        9    0.000    0.000    0.001    0.000 typing.py:740(Optional)
      494    0.001    0.000    0.001    0.000 enum.py:1129(__new__)
        2    0.000    0.000    0.001    0.001 utils.py:204(get_netrc_auth)
        1    0.000    0.000    0.001    0.001 charset.py:1(<module>)
        2    0.000    0.000    0.001    0.001 __init__.py:71(search_function)
      353    0.001    0.000    0.001    0.000 enum.py:850(__setattr__)
       17    0.001    0.000    0.001    0.000 {built-in method _imp.exec_builtin}
        1    0.000    0.000    0.001    0.001 _internal_utils.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:436(PercentStyle)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1685(path_hook_for_FileFinder)
     2771    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
       48    0.000    0.000    0.001    0.000 functools.py:518(decorating_function)
        6    0.000    0.000    0.001    0.000 feedparser.py:216(_parsegen)
       13    0.000    0.000    0.001    0.000 typing.py:1548(__getitem__)
     1468    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
      136    0.001    0.000    0.001    0.000 css_parser.py:359(__init__)
      308    0.000    0.000    0.001    0.000 css_parser.py:238(css_unescape)
        1    0.001    0.001    0.001    0.001 entities.py:1(<module>)
