URL does not exist
         394396 function calls (376828 primitive calls) in 2.525 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       82    0.011    0.000    0.013    0.000 typing_extensions.py:3029(_collect_parameters)
 3574/379    0.008    0.000    0.013    0.000 _parser.py:178(getwidth)
        2    0.000    0.000    0.013    0.007 _streams.py:1(<module>)
        2    0.000    0.000    0.013    0.007 _models.py:974(aread)
        4    0.000    0.000    0.013    0.003 _models.py:982(aiter_bytes)
       33    0.001    0.000    0.013    0.000 enum.py:528(__new__)
        4    0.000    0.000    0.012    0.003 _models.py:1037(aiter_raw)
      266    0.002    0.000    0.012    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     2793    0.007    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        2    0.000    0.000    0.012    0.006 connection_pool.py:270(_assign_requests_to_connections)
      472    0.004    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
       36    0.000    0.000    0.011    0.000 _eventloop.py:154(get_async_backend)
        1    0.000    0.000    0.011    0.011 _readers.py:122(ContentLengthReader)
      442    0.011    0.000    0.011    0.000 <frozen importlib._bootstrap>:79(__init__)
        1    0.000    0.000    0.011    0.011 connection_pool.py:23(assign_to_connection)
        1    0.000    0.000    0.011    0.011 _synchronization.py:128(set)
        1    0.000    0.000    0.011    0.011 _synchronization.py:117(setup)
        3    0.000    0.000    0.011    0.004 _synchronization.py:81(__new__)
       13    0.000    0.000    0.011    0.001 dataclasses.py:638(_frozen_get_del_attr)
        2    0.000    0.000    0.011    0.005 __init__.py:73(import_module)
      3/2    0.000    0.000    0.011    0.005 <frozen importlib._bootstrap>:1375(_gcd_import)
      183    0.000    0.000    0.011    0.000 _parser.py:98(closegroup)
       10    0.000    0.000    0.010    0.001 anyio.py:25(read)
        1    0.000    0.000    0.010    0.010 cookiejar.py:1(<module>)
      425    0.004    0.000    0.010    0.000 typing.py:175(_type_check)
        3    0.000    0.000    0.010    0.003 _client.py:175(__aiter__)
        3    0.000    0.000    0.010    0.003 default.py:269(__aiter__)
        3    0.000    0.000    0.010    0.003 connection_pool.py:401(__aiter__)
       77    0.001    0.000    0.010    0.000 css_parser.py:462(parse_attribute_selector)
        3    0.000    0.000    0.010    0.003 http11.py:330(__aiter__)
